secID,ticker,tradeDate,marketValue,negMarketValue,secShortName,exchangeCD
301176.XSHE,301176,2026-03-26,4404187535.0,1468063380.0,逸豪新材,XSHE
605028.XSHG,605028,2026-03-26,4404800000.0,4404800000.0,世茂能源,XSHG
002869.XSHE,002869,2026-03-26,4405183275.9,3922204524.6,金溢科技,XSHE
301188.XSHE,301188,2026-03-26,4406327802.0,4406327802.0,力诺药包,XSHE
300021.XSHE,300021,2026-03-26,4406403925.0,3761505952.0,大禹节水,XSHE
002103.XSHE,002103,2026-03-26,4407751862.25,3110431335.0,广博股份,XSHE
605208.XSHG,605208,2026-03-26,4407998400.0,4407998400.0,永茂泰,XSHG
301116.XSHE,301116,2026-03-26,4413469468.0,4413446859.0,益客食品,XSHE
000677.XSHE,000677,2026-03-26,4414927069.0,4414927069.0,恒天海龙,XSHE
688665.XSHG,688665,2026-03-26,4415020049.0,4415020049.0,四方光电,XSHG
300540.XSHE,300540,2026-03-26,4416717084.0,3977431328.0,蜀道装备,XSHE
603095.XSHG,603095,2026-03-26,4418986012.0,4418986012.0,越剑智能,XSHG
300904.XSHE,300904,2026-03-26,4421891642.88,1332898151.82,威力传动,XSHE
300250.XSHE,300250,2026-03-26,4422475086.0,3255695640.0,初灵信息,XSHE
002528.XSHE,002528,2026-03-26,4423111119.0,3875310324.0,ST英飞拓,XSHE
688595.XSHG,688595,2026-03-26,4423658170.0,4423658170.0,芯海科技,XSHG
603916.XSHG,603916,2026-03-26,4424946252.0,4362977652.0,苏博特,XSHG
601188.XSHG,601188,2026-03-26,4425542961.0,4425542961.0,龙江交通,XSHG
300834.XSHE,300834,2026-03-26,4426328340.0,4396952380.0,星辉环材,XSHE
002394.XSHE,002394,2026-03-26,4428216000.0,4422547008.0,联发股份,XSHE
002521.XSHE,002521,2026-03-26,4430082510.0,3309605698.0,齐峰新材,XSHE
002912.XSHE,002912,2026-03-26,4436136960.0,4214519766.0,中新赛克,XSHE
603676.XSHG,603676,2026-03-26,4438647300.0,4438647300.0,卫信康,XSHG
301221.XSHE,301221,2026-03-26,4444944177.0,3010086368.0,光庭信息,XSHE
603967.XSHG,603967,2026-03-26,4447733761.0,4447733761.0,中创物流,XSHG
300022.XSHE,300022,2026-03-26,4448163600.0,4448064600.0,吉峰科技,XSHE
002571.XSHE,002571,2026-03-26,4448640445.0,3385775370.0,德力股份,XSHE
001223.XSHE,001223,2026-03-26,4449156320.0,4449156320.0,欧克科技,XSHE
688479.XSHG,688479,2026-03-26,4449305442.0,1921245442.0,友车科技,XSHG
002094.XSHE,002094,2026-03-26,4449379900.0,4446520540.0,青岛金王,XSHE
688646.XSHG,688646,2026-03-26,4451066102.0,2740950950.0,ST逸飞,XSHG
600491.XSHG,600491,2026-03-26,4451595780.0,4451595780.0,龙元建设,XSHG
002688.XSHE,002688,2026-03-26,4452330488.0,4312864972.0,金河生物,XSHE
301361.XSHE,301361,2026-03-26,4454505440.0,1165700760.0,众智科技,XSHE
002878.XSHE,002878,2026-03-26,4461718651.0,4017935584.0,元隆雅图,XSHE
603357.XSHG,603357,2026-03-26,4462200880.0,4422599880.0,设计总院,XSHG
603309.XSHG,603309,2026-03-26,4465632420.0,4465632420.0,维力医疗,XSHG
002443.XSHE,002443,2026-03-26,4466194590.0,4456680228.0,金洲管道,XSHE
600527.XSHG,600527,2026-03-26,4467943122.0,4467943122.0,江南高纤,XSHG
605068.XSHG,605068,2026-03-26,4468568675.0,4468568675.0,明新旭腾,XSHG
